timestamp,sensor,data
1751517492.5730422,position,"(0.66361, 0.48603, 0.0)"
1751517492.594152,imu,"(-0.25433, 0.02685, -1.01695, -0.00274, 0.01319, -0.02582)"
1751517492.614457,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.6337283,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.693792,imu,"(0.07538, 0.01448, -1.04401, 0.00261, 0.00929, -0.02811)"
1751517492.7136972,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.733689,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.753718,attitude,"(84.0, -2.48, -2.07)"
1751517492.7732437,position,"(0.66491, 0.50845, 0.0)"
1751517492.7942507,imu,"(-0.01694, 0.00143, -1.01299, 0.00374, 0.01255, 0.0109)"
1751517492.8132448,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.833257,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.8941178,imu,"(-0.03489, 0.00112, -1.02139, 0.00627, 0.01229, 0.01529)"
1751517492.914253,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517492.933237,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517492.9534085,attitude,"(84.01, -2.48, -2.05)"
1751517492.9736528,position,"(0.66718, 0.53003, 0.0)"
1751517492.9940355,imu,"(-0.0288, 0.01279, -1.0216, 0.0041, -0.00102, 0.00583)"
1751517493.0140657,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517493.033229,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517493.0942116,imu,"(-0.03116, 0.00755, -1.01398, -0.00507, -0.01217, 0.01341)"
1751517493.114231,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517493.134009,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517493.1543832,attitude,"(84.02, -2.51, -2.07)"
1751517493.174138,position,"(0.66834, 0.5467, 0.0)"
1751517493.1937234,imu,"(-0.01245, 0.01177, -1.01632, 0.00173, 0.00836, 0.01138)"
1751517493.2141812,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517493.2339845,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517493.2941105,imu,"(-0.05617, 0.06197, -1.00157, 0.02725, 0.0212, 0.59306)"
1751517493.3138657,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517493.3328867,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517493.3539095,attitude,"(89.47, -2.33, -2.23)"
1751517493.373523,position,"(0.67108, 0.55075, 0.0)"
1751517493.3940637,imu,"(-0.04471, 0.00576, -1.01894, -0.00648, -0.00183, 0.65599)"
1751517493.434154,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517493.434154,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517493.4941401,imu,"(0.03905, 0.03389, -1.02046, 0.00495, -0.002, 0.67898)"
1751517493.5141418,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517493.5539482,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517493.5737576,attitude,"(97.46, -2.05, -2.59)"
1751517493.5938265,position,"(0.66939, 0.54506, 0.0)"
1751517493.6138246,imu,"(0.04634, -0.00366, -1.02494, 0.00083, -0.00949, 0.7446)"
